ID	EntryID	rc100
78-agyag-1	78-agyag	^(a|o|aɣ|ɒ|aw|ul)?(d͡ʒʲ|d|ɟ|t͡ʃ)(a|o|aɣ|ɒ|aw|ul)?(ɡ|k)(i)?$
291-apaca-1	291-apaca	^(a|o|aɣ|ɒ|aw|ul)?(p|pu|pi)(a|aː|aɣa|al|o|aɣi|il|aɣ|ava)(s|t͡ʃ|z|k)(a)$
296-apat-1	296-apat	^(a|o|aɣ|ɒ|aw|ul)?(p|pu|pi)(a|aː|aɣa|al|o|aɣi|il|aɣ|ava)(t|k|dø)(i)?$
356-artany-1	356-artany	^(a|aː|aɣa|al|o|aɣi|il|aɣ|ava)(r)(t|k|dø)(a|aː|aɣa|al|o|aɣi|il|aɣ|ava)(n|m|ɲ)$
475-bagoly-1	475-bagoly	^(b|p)(a|o)(ɡ|k)(u|o|a|ɒ|ol|ul|uɣu|oɣo|ɯ|oɣ|uɣ|al|i)?(l|j|ɣ|ja|ji|li)?$
498-bako-1	498-bako	^(b|p)(a|o|aɣ|ɒ|aw|ul)?(k|kɛ|ɡ)(aɣ|uɣ|u|aɣu|iɣ|oɣ|a|aw|al|ɯɣ|uː|uj|au|i|awu|aː)(i)?$
504-bal-1	504-bal	^(b|p)(a|o|aɣ|ɒ|aw|ul)?(l|rl|n|k|j)?(i|y|ɛ|iɣ|u|øk|at|ɛk)?$
531-ban-1	531-ban	^(b|p)(a|aː|aɣa|al|o|aɣi|il|aɣ|ava)(n|møn)?(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
604-batya-1	604-batya	^(b|p)(a|aː|aɣa|al|o|aɣi|il|aɣ|ava)(t)(a|o|aɣ|ɒ|aw|ul)?(i|y|ɛ|iɣ|u)?$
621-beco-1	621-beco	^(b|p)(ɛ|i|y|ɛɣ|ø|a)(s|t͡ʃ|z|k)(ɛɣ|ɛw|iɣ|ø|ɛy|y|ɛɣy|yː|ɛwi|ɛ|øː)(i)?$
632-begy-1	632-begy	^(b|p)(ɛ|i|y|ɛɣ|ø|a)(d͡ʒʲ|d|ɟ|t͡ʃ)(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
663-ber-1	663-ber	^(b|p)(ɛ|i|eː|ø|y|a|e|ɛj|ɛwɛ|iu|ɛwi|iː)(r|ri|ra|ru|ro|ry)?(i|y|ɛ|iɣ)?$
671-berek-1	671-berek	^(b|p)(ɛ|i|y|ɛɣ|ø|a)(r|ri|ra)?(ɛ|i|y|ɛɣ|ø|a)(k|kɛ|ɡ)$
682-bese-1	682-bese	^(b|p)(ɛ|i|y|ɛɣ|ø|a)(ʃ|t͡ʃ|s|ɣ)(ɛ|i|y|ɛɣ|ø|a)(i|y)?$
691-beteg-1	691-beteg	^(b|p)(ɛ|i|y|ɛɣ|ø|a)(t|k|dø)(ɛ|i|y|ɛɣ|ø|a)(ɡ|k)(i)?$
710-bicsak-1	710-bicsak	^(b|p)(i|y|ɛ|a|ɯ|iɣ|wi|il|ij|al)(t͡ʃ|t͡ʃɛ)?(a|o|aɣ|ɒ|aw|ul)?(k|kɛ)$
737-bir-1	737-bir	^(b|p)(i|iː)(r|ri|ra|ru|ro|ry)?(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
739-birka-1	739-birka	^(b|p)(i|y|ɛ|a|ɯ|iɣ|wi|il|ij|al)(r|ri)(k|kɛ|ɡ)(a|o|aɣ|ɒ|aw|ul)?$
751-bizik-1	751-bizik	^(b|p)(i|iː)(z|s)(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
781-boda-1	781-boda	^(b|p)(aɣ|uɣ|u|aɣu|iɣ|oɣ|a|aw|al|ɯɣ|uː|uj|au|i|awu|aː)(d|d͡ʒʲ|t|nd)?(a|o|aɣ|ɒ)?$
796-boglya-1	796-boglya	^(b|p)(u|o|a|ɒ|ol|ul|uɣu|oɣo|ɯ|oɣ|uɣ|al|i)?(ɡ|k)(l|j|ɣ|ja|ji|li)?(a|o)$
843-bonc-1	843-bonc	^(b|p)(u|o|a|ɒ|ol|ul|uɣu|oɣo|ɯ|oɣ|uɣ|al|i)?(n|møn)?(s|t͡ʃ|z|k)(i|y)?$
888-bot-1	888-bot	^(b|p)(u|o|a|ɒ|ol|ul|uɣu|oɣo|ɯ|oɣ|uɣ|al|i)?(t|k|dø)(i|y|ɛ|iɣ|u|øk|at|ɛk)?$
1045-bukk-1	1045-bukk	^(b|p)(i|y|ɛ|yɣ|ɛɣ|iɣy|iɣ|ø)(k)(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
1050-burok-1	1050-burok	^(b|p)(i|y|ɛ|yɣ|ɛɣ|iɣy|iɣ|ø)(r|ri)(y|ɛ|ø|i|yɣy|yɣ|ɛr|ɛɣ|øɣi|ɛɣi)?(k|kɛ|ɡ)$
1057-buz-1	1057-buz	^(b|p)(iɣ|yɣ|y|ɛɣ|yː|yɣy|ɛwy|ɛɣy|iɣi|ɛɣi|i|ø)(z|s)(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
1186-cenk-1	1186-cenk	^(s|t͡ʃ|z|k)(ɛ|i|y|ɛɣ|ø|a)(n|møn)?(k|kɛ|ɡ)(i|y|ɛ)?$
1300-comb-1	1300-comb	^(s|t͡ʃ|z|k)(u|o|a|ɒ|ol|ul|uɣu|oɣo|ɯ|oɣ|uɣ|al|i)?(m)(b|p)(i|y|ɛ|iɣ|u|øk)?$
1301-compo-1	1301-compo	^(s|t͡ʃ|z|k)(u|o|a|ɒ|ol|ul|uɣu|oɣo|ɯ|oɣ)?(m)(p)(aɣ|uɣ|u|aɣu|iɣ|oɣ|a|aw|al|ɯɣ|uː|uj|au|i|awu|aː)$
1311-cudar-1	1311-cudar	^(s|t͡ʃ|z|k)(u|uɣ|ɯ|uwa|aɣ)(d|d͡ʒʲ|t|nd)?(a|o|aɣ|ɒ|aw|ul)?(r)$
1341-csak-1	1341-csak	^(t͡ʃ|t͡ʃɛ)?(a|o|aɣ|ɒ|aw|ul)?(k|kɛ|ɡ)(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
1346-csako-1	1346-csako	^(t͡ʃ|t͡ʃɛ)?(a|aː|aɣa|al|o|aɣi|il|aɣ|ava)(k|kɛ)(aɣ|uɣ|u|aɣu|iɣ|oɣ|a|aw|al|ɯɣ|uː|uj|au|i|awu|aː)$
1400-csecs-1	1400-csecs	^(t͡ʃ|t͡ʃɛ)?(ɛ|i|y|ɛɣ|ø|a)(t͡ʃ|t͡ʃɛ)?(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
1410-csekle-1	1410-csekle	^(t͡ʃ|t͡ʃɛ)?(ɛ|i|y|ɛɣ|ø|a)(k|kɛ)(l|rl|n|k|j)?(ɛ|i|y|ɛɣ|ø|a)$
1427-csen-1	1427-csen	^(t͡ʃ|t͡ʃɛ)?(ɛ|i|y|ɛɣ|ø|a)(n|møn)?(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
1556-csira-1	1556-csira	^(t͡ʃ|t͡ʃɛ)?(i|iː)(r|ri|ra|ru|ro|ry)?(a|o|aɣ|ɒ|aw|ul)?(i|y)?$
1620-csomor-1	1620-csomor	^(t͡ʃ|t͡ʃɛ)?(y|ɛ|ø|i|yɣy|yɣ|ɛr|ɛɣ|øɣi|ɛɣi)?(m)(y|ɛ|ø|i|yɣy|yɣ|ɛr|ɛɣ|øɣi|ɛɣi)?(r|ri)$
1630-csucs-1	1630-csucs	^(t͡ʃ|t͡ʃɛ)?(u|aɣ|uɣ|oɣ|aɣu|ul|uː|uɣu|i|o|iɣu)(t͡ʃ|t͡ʃɛ)?(i|y|ɛ|iɣ|u|øk|at)?$
1649-csunya-1	1649-csunya	^(t͡ʃ|t͡ʃɛ)?(u|aɣ|uɣ|oɣ|aɣu|ul|uː|uɣu|i|o|iɣu)(n|m|ɲ)(a|o|aɣ|ɒ|aw|ul)?(i)?$
1650-csup-1	1650-csup	^(t͡ʃ|t͡ʃɛ)?(u|aɣ|uɣ|oɣ|aɣu|ul|uː|uɣu|i|o|iɣu)(p|pu|pi)(i|y|ɛ|iɣ|u|øk|at)?$
1701-dalm-1	1701-dalm	^(d|d͡ʒʲ|t|nd)?(a|o|aɣ|ɒ|aw|ul)?(l|rl|n|k|j)?(m)(i|y|ɛ)?$
1752-delceg-1	1752-delceg	^(d|d͡ʒʲ|t|nd)?(ɛ|i|eː|ø|y|a|e|ɛj|ɛwɛ|iu|ɛwi|iː)(l)(s|t͡ʃ|z|k)(ɛ|i)(ɡ|k)$
1775-denever-1	1775-denever	^(d|d͡ʒʲ|t|nd)?(ɛ|i)(n)(ɛ)(v|ɣ|w|yɣ|u)?(ɛ|i|eː|ø|y|a|e|ɛj|ɛwɛ|iu|ɛwi|iː)(r)$
1800-dever-1	1800-dever	^(d|d͡ʒʲ|t|nd)?(ɛ|i|eː|ø|y|a|e|ɛj|ɛwɛ|iu|ɛwi|iː)(v|ɣ|w|yɣ|u)?(ɛ|i)(r)$
1854-disz-1	1854-disz	^(d|d͡ʒʲ|t|nd)?(i|iː)(s|sʲ|ʃ|z)(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
1973-dul-1	1973-dul	^(d|d͡ʒʲ|t|nd)?(u|aɣ|uɣ|oɣ|aɣu|ul|uː|uɣu|i|o|iɣu)(l|rl|n|k|j)?(i|y)?$
2030-ed-1	2030-ed	^(ɛ|i|y|ɛɣ|ø|a)(d|d͡ʒʲ|t|nd)?(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
2033-edeny-1	2033-edeny	^(ɛ|i|y|ɛɣ)(d|d͡ʒʲ|t|nd)?(ɛ|i|eː|ø|y|a|e|ɛj|ɛwɛ|iu|ɛwi|iː)(n|m|ɲ)$
2042-eger-1	2042-eger	^(ɛ|i|eː|ø|y|a|e|ɛj|ɛwɛ|iu|ɛwi|iː)(ɡ|k)(ɛ|i|y|ɛɣ|ø|a)(r|ri|ra|ru)?$
2044-egesz-1	2044-egesz	^(ɛ|i|y|ɛɣ|ø|a)(ɡ|k)(ɛ|i|eː|ø|y|a|e|ɛj|ɛwɛ|iu|ɛwi|iː)(s|sʲ|ʃ|z)(i)?$
2127-eleve-1	2127-eleve	^(ɛ|i|y|ɛɣ|ø|a)(l)(ɛ|i|y|ɛɣ|ø|a)(v|ɣ|w|yɣ|u)?(ɛ|i|y|ɛɣ)$
2142-elme-1	2142-elme	^(ɛ|i|y|ɛɣ|ø|a)(l|rl|n|k|j)?(m)(ɛ|i|y|ɛɣ|ø|a)(i|y|ɛ)?$
2217-er-1	2217-er	^(ɛ|i|eː|ø|y|a|e|ɛj|ɛwɛ|iu|ɛwi|iː)(r|ri|ra|ru|ro|ry)?(i|y|ɛ|iɣ|u|øk|at|ɛk)?$
2240-erkolcs-1	2240-erkolcs	^(ɛ|i|y|ɛɣ|ø|a)(r)(k)(y|ɛ|ø|i|yɣy|yɣ|ɛr|ɛɣ|øɣi|ɛɣi)?(l|rl|n)?(t͡ʃ|t͡ʃɛ)?$
2247-ersek-1	2247-ersek	^(ɛ|i|eː|ø|y|a|e|ɛj|ɛwɛ|iu|ɛwi|iː)(r)(ʃ|t͡ʃ|s|ɣ)(ɛ|i|y|ɛɣ|ø|a)(k|kɛ|ɡ)$
2248-erszeny-1	2248-erszeny	^(ɛ|i|y|ɛɣ|ø)(r)(s|sʲ|ʃ|z)(ɛ|i|eː|ø|y|a|e|ɛj|ɛwɛ|iu|ɛwi|iː)(n|m|ɲ)$
2274-eszkoz-1	2274-eszkoz	^(ɛ|i|y|ɛɣ|ø|a)(s|sʲ|ʃ|z)(k|kɛ)(y|ɛ|ø|i|yɣy|yɣ|ɛr|ɛɣ|øɣi|ɛɣi)?(z|s)$
2989-geszt-1	2989-geszt	^(ɡ|k)(ɛ|i|y|ɛɣ|ø|a)(s|sʲ|ʃ|z)(t|k|dø)(i|y|ɛ|iɣ)?$
3006-gim-1	3006-gim	^(ɡ|k)(i|iː)(m)(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
3048-gond-1	3048-gond	^(ɡ|k)(u|o|a|ɒ|ol|ul|uɣu|oɣo|ɯ|oɣ|uɣ|al|i)?(n|møn)?(d|d͡ʒʲ|t|nd)?(i)?$
3074-godor-1	3074-godor	^(ɡ|k)(y|ɛ|ø|i|yɣy|yɣ|ɛr|ɛɣ|øɣi|ɛɣi)?(d|d͡ʒʲ|t|nd)?(y|ɛ|ø|i|yɣy|yɣ|ɛr|ɛɣ|øɣi|ɛɣi)?(r)$
3103-goz-1	3103-goz	^(ɡ|k)(ɛɣ|ɛw|iɣ|ø|ɛy|y|ɛɣy|yː|ɛwi|ɛ|øː)(z|s)(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
3182-gyak-1	3182-gyak	^(d͡ʒʲ|d|ɟ|t͡ʃ)(a|o|aɣ|ɒ|aw|ul)?(k|kɛ|ɡ)(i|y|ɛ|iɣ|u|øk|at|ɛk)?$
3214-gyenge-1	3214-gyenge	^(d͡ʒʲ|d|ɟ|t͡ʃ)(ɛ|i|y|ɛɣ|ø|a)(n|møn)?(ɡ|k)(ɛ|i|y|ɛɣ|ø|a)$
3218-gyepu-1	3218-gyepu	^(d͡ʒʲ|d|ɟ|t͡ʃ)(ɛ|i|y|ɛɣ|ø)(p|pu|pi)(iɣ|yɣ|y|ɛɣ|yː|yɣy|ɛwy|ɛɣy|iɣi|ɛɣi|i|ø)$
3219-gyer-1	3219-gyer	^(d͡ʒʲ|d|ɟ|t͡ʃ)(ɛ|i|eː|ø|y|a|e|ɛj|ɛwɛ|iu|ɛwi|iː)(r|ri|ra|ru|ro|ry)?(i|y)?$
3234-gyors-1	3234-gyors	^(d͡ʒʲ|d|ɟ|t͡ʃ)(u|o|a|ɒ|ol|ul|uɣu|oɣo|ɯ|oɣ|uɣ|al|i)?(r|ri|ra)?(ʃ|t͡ʃ|s|ɣ)$
3235-gyota-1	3235-gyota	^(d͡ʒʲ|d|ɟ|t͡ʃ)(aɣ|uɣ|u|aɣu|iɣ|oɣ|a|aw|al|ɯɣ|uː|uj|au|i|awu|aː)(t|k)(a|o|aɣ|ɒ|aw|ul)?$
3244-gyoz-1	3244-gyoz	^(d͡ʒʲ|d|ɟ|t͡ʃ)(ɛɣ|ɛw|iɣ|ø|ɛy|y|ɛɣy|yː|ɛwi|ɛ|øː)(z|s)(i|y|ɛ|iɣ|u|øk|at)?$
3256-gyur-1	3256-gyur	^(d͡ʒʲ|d|ɟ|t͡ʃ)(iɣ|yɣ|y|ɛɣ|yː|yɣy|ɛwy|ɛɣy|iɣi|ɛɣi|i|ø)(r|ri|ra|ru|ro|ry)?(i|y)?$
3294-hagyman-1	3294-hagyman	^(h|x|ɣ)?(a|o)(d͡ʒʲ|d|ɟ|t͡ʃ)(m)(a|aː|aɣa|al|o|aɣi|il|aɣ|ava)(n|møn)?$
3351-hamar-1	3351-hamar	^(h|x|ɣ)?(a|o|aɣ|ɒ|aw|ul)?(m)(a|o|aɣ|ɒ|aw|ul)?(r|ri|ra)?$
3368-hanga-1	3368-hanga	^(h|x|ɣ)?(a|o|aɣ|ɒ|aw|ul)?(n|møn)?(ɡ|k)(a|o|aɣ|ɒ)?$
3405-harcsa-1	3405-harcsa	^(h|x|ɣ)?(a|o|aɣ|ɒ|aw|ul)?(r|ri)(t͡ʃ|t͡ʃɛ)?(a|o|aɣ|ɒ|aw|ul)?$
3426-has-1	3426-has	^(h|x|ɣ)?(a|o|aɣ|ɒ|aw|ul)?(ʃ|t͡ʃ|s|ɣ)(i|y|ɛ|iɣ|u|øk)?$
3439-hatak-1	3439-hatak	^(h|x|ɣ)?(a|o|aɣ|ɒ|aw|ul)?(t|k|dø)(a|o|aɣ|ɒ|aw|ul)?(k|kɛ)$
3473-hegy-1	3473-hegy	^(h|x|ɣ)?(ɛ|i|y|ɛɣ|ø|a)(d͡ʒʲ|d|ɟ|t͡ʃ)(i|y|ɛ|iɣ|u|øk|at)?$
3515-herep-1	3515-herep	^(h|x|ɣ)?(ɛ|i|y|ɛɣ|ø|a)(r|ri)(ɛ|i|y|ɛɣ|ø|a)(p|pu|pi)$
3523-hermec-1	3523-hermec	^(h|x|ɣ)?(ɛ|i|y|ɛɣ|ø|a)(r|ri)(m)(ɛ|i|y|ɛɣ|ø|a)(s|t͡ʃ|z|k)$
3605-hitvany-1	3605-hitvany	^(h|x|ɣ)?(i|y|ɛ|a|ɯ|iɣ|wi|il|ij|al)(t)(v|ɣ|w|yɣ|u)?(a)(n|m|ɲ)$
3609-hiuz-1	3609-hiuz	^(h|x|ɣ)?(i|y|ɛ|a|ɯ|iɣ|wi|il)(u|aɣ|uɣ|oɣ|aɣu|ul|uː|uɣu|i|o|iɣu)(z|s)$
3688-horka-1	3688-horka	^(h|x|ɣ)?(u|o|a|ɒ|ol|ul|uɣu|oɣo|ɯ|oɣ|uɣ|al|i)?(r)(k|kɛ)(a|o|aɣ|ɒ|aw|ul)?$
3712-ho-1	3712-ho	^(h|x|ɣ)?(ɛɣ|ɛw|iɣ|ø|ɛy|y|ɛɣy|yː|ɛwi|ɛ|øː)(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
3725-hug-1	3725-hug	^(h|x|ɣ)?(u|aɣ|uɣ|oɣ|aɣu|ul|uː|uɣu|i|o|iɣu)(ɡ|k)(i|y|ɛ|iɣ|u|øk|at)?$
3757-hus-1	3757-hus	^(h|x|ɣ)?(u|aɣ|uɣ|oɣ|aɣu|ul|uː|uɣu|i|o|iɣu)(ʃ|t͡ʃ|s|ɣ)(i|y|ɛ)?$
3794-idegen-1	3794-idegen	^(i|y|ɛ|a|ɯ|iɣ|wi|il|ij|al)(d|d͡ʒʲ|t|nd)?(ɛ|i|y|ɛɣ|ø|a)(ɡ|k)(ɛ|i)(n)$
3826-ij-1	3826-ij	^(i|iː)(l|j|ɣ|ja|ji|li)?(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
3868-in-1	3868-in	^(i|iː)(n|møn)?(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
3886-ing-1	3886-ing	^(i|y|ɛ|a|ɯ|iɣ|wi|il|ij|al)(n|møn)?(ɡ|k)(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
3932-ir-1	3932-ir	^(i|iː)(r|ri|ra|ru|ro|ry)?(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
3989-iva-1	3989-iva	^(i|y|ɛ|a|ɯ|iɣ|wi|il|ij|al)(v|ɣ|w|yɣ|u)?(a|o|aɣ|ɒ|aw|ul)?(i)?$
4082-jozan-1	4082-jozan	^(l|j|ɣ|ja|ji|li)?(aɣ|uɣ|u|aɣu|iɣ|oɣ|a|aw|al|ɯɣ|uː|uj|au|i|awu|aː)(z|s)(a|o)(n|møn)?$
4091-juh-1	4091-juh	^(l|j|ɣ|ja|ji|li)?(u|uɣ|ɯ|uwa|aɣ)(h|x|ɣ)?(i|y|ɛ|iɣ)?$
4253-kakics-1	4253-kakics	^(k|kɛ|ɡ)(a|aː|aɣa|al|o|aɣi|il|aɣ|ava)(k)(i|y|ɛ|a|ɯ|iɣ|wi|il|ij|al)(t͡ʃ|t͡ʃɛ)?$
4290-kaliz-1	4290-kaliz	^(k)(a|aː|aɣa|al|o|aɣi|il|aɣ|ava)(l|rl|n)?(i|y|ɛ|a|ɯ|iɣ|wi|il|ij|al)(z|s)$
4310-kamasz-1	4310-kamasz	^(k|kɛ|ɡ)(a|o|aɣ|ɒ|aw|ul)?(m)(a|o|aɣ|ɒ|aw|ul)?(s|sʲ|ʃ|z)(i)?$
4334-kanal-1	4334-kanal	^(k)(a|o|aɣ|ɒ)?(n|møn)?(a|aː|aɣa|al|o|aɣi|il|aɣ|ava)(l|rl|n|k|j)?$
4342-kancso-1	4342-kancso	^(k)(a|o|aɣ|ɒ)?(n|møn)?(t͡ʃ|t͡ʃɛ)?(aɣ|uɣ|u|aɣu|iɣ|oɣ|a|aw|al|ɯɣ|uː|uj|au|i|awu|aː)$
4615-kesa-1	4615-kesa	^(k|kɛ|ɡ)(ɛ|i|eː|ø|y|a|e|ɛj|ɛwɛ|iu|ɛwi|iː)(ʃ|t͡ʃ|s|ɣ)(a|o|aɣ|ɒ|aw|ul)?$
4642-keve-1	4642-keve	^(k|kɛ)(ɛ|i|eː|ø|y|a|e|ɛj|ɛwɛ|iu|ɛwi|iː)(v|ɣ|w|yɣ|u)?(ɛ|i|y|ɛɣ|ø|a)$
4671-kedv-1	4671-kedv	^(k|kɛ|ɡ)(ɛ|i|y|ɛɣ|ø|a)(d|d͡ʒʲ|t|nd)?(v|ɣ|w|yɣ|u)?(i)?$
4697-kelevez-1	4697-kelevez	^(k)(ɛ|i|y|ɛɣ|ø)(l)(ɛ)(v|ɣ|w|yɣ|u)?(ɛ|i|eː|ø|y|a|e|ɛj|ɛwɛ|iu|ɛwi|iː)(z|s)$
4704-kem-1	4704-kem	^(k|kɛ|ɡ)(ɛ|i|eː|ø|y|a|e|ɛj|ɛwɛ|iu|ɛwi|iː)(m)(i|y|ɛ|iɣ|u|øk|at|ɛk|a|uk)?$
4735-kep-1	4735-kep	^(k|kɛ|ɡ)(ɛ|i|eː|ø|y|a|e|ɛj|ɛwɛ|iu|ɛwi|iː)(p|pu|pi)(i|y|ɛ|iɣ|u|øk)?$
4759-kilincs-1	4759-kilincs	^(k)(i|y|ɛ|a|ɯ|iɣ|wi|il|ij|al)(l)(i|y|ɛ|a|ɯ|iɣ|wi|il|ij|al)(n|møn)?(t͡ʃ|t͡ʃɛ)?$
